rating,company_name,job_title,salary,salaries_reported,location,employment_status,job_roles,salary_currency,salary_usd
3.8,Sasken,Android,400000,3,Bangalore,Full Time,Android,INR,4800.0
4.5,Advanced Millennium Technologies,Android,400000,3,Bangalore,Full Time,Android,INR,4800.0
4.0,Unacademy,Android,1000000,3,Bangalore,Full Time,Android,INR,12000.0
3.8,SnapBizz Cloudtech,Android,300000,3,Bangalore,Full Time,Android,INR,3600.0
4.4,Appoids Tech Solutions,Android,600000,3,Bangalore,Full Time,Android,INR,7200.0
3.7,SQUARE N CUBE,Android,192000,3,Bangalore,Full Time,Android,INR,2304.0
3.1,Samsung R&D Institute India - Bangalore,Android,400000,3,Bangalore,Full Time,Android,INR,4800.0
3.7,DXMinds Technologies,Android,300000,3,Bangalore,Full Time,Android,INR,3600.0
3.6,Endeavour Software Technologies,Android,600000,3,Bangalore,Full Time,Android,INR,7200.0
3.6,Craft Silicon,Android,300000,3,Bangalore,Full Time,Android,INR,3600.0
3.9,Baronford & Associates,Android,240000,2,Bangalore,Full Time,Android,INR,2880.0
3.7,Wibmo,Android,900000,2,Bangalore,Full Time,Android,INR,10800.0
3.9,Bookmyshow,Android,600000,2,Bangalore,Full Time,Android,INR,7200.0
3.9,Knowledge Flex,Android,228000,2,Bangalore,Full Time,Android,INR,2736.0
3.6,Novopay Solutions,Android,600000,2,Bangalore,Full Time,Android,INR,7200.0
3.7,WealthEngine,Android,360000,2,Bangalore,Full Time,Android,INR,4320.0
4.0,J.P. Morgan,Android,1000000,2,Bangalore,Full Time,Android,INR,12000.0
3.6,Acviss,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
4.1,Fresher,Android,408000,2,Bangalore,Full Time,Android,INR,4896.0
4.2,MedOnGo,Android,300000,2,Bangalore,Full Time,Android,INR,3600.0
4.0,Nuclei,Android,800000,2,Bangalore,Full Time,Android,INR,9600.0
4.4,eSecForte Technologies,Android,228000,2,Bangalore,Full Time,Android,INR,2736.0
3.6,Tech Mahindra,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
4.0,ThiDiff Technologies,Android,200000,2,Bangalore,Full Time,Android,INR,2400.0
4.9,Retranz Infolabs,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
4.0,FicusLot,Android,228000,2,Bangalore,Full Time,Android,INR,2736.0
3.7,KrazyBee,Android,708000,2,Bangalore,Full Time,Android,INR,8496.0
5.0,powerplay app,Android,396000,2,Bangalore,Intern,Android,INR,4752.0
4.2,Dcoder,Android,700000,2,Bangalore,Full Time,Android,INR,8400.0
4.6,Masai School,Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
3.9,Integra Micro Software Services (P),Android,500000,2,Bangalore,Full Time,Android,INR,6000.0
3.3,DocsApp,Android,900000,2,Bangalore,Full Time,Android,INR,10800.0
5.0,Vispara Technosoft,Android,200000,2,Bangalore,Full Time,Android,INR,2400.0
