work_year,experience_level,employment_type,job_title,SalaryLocal,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
2024,executive,full-time,Business Intelligence,230000,USD,230000,United States,in-person,United States,Medium,BI and Visualization
2024,executive,full-time,Business Intelligence,176900,USD,176900,United States,in-person,United States,Medium,BI and Visualization
2024,senior,full-time,Data Architect,171210,USD,171210,Canada,in-person,Canada,Medium,Data Architecture and Modeling
2024,senior,full-time,Data Architect,92190,USD,92190,Canada,in-person,Canada,Medium,Data Architecture and Modeling
2024,mid-level,full-time,Data Science,46203,GBP,57753,United Kingdom,in-person,United Kingdom,Medium,Data Science and Research
2024,senior,full-time,Data Engineer,148000,USD,148000,United States,in-person,United States,Medium,Data Engineering
2024,senior,full-time,Research Scientist,234000,USD,234000,United States,in-person,United States,Medium,Data Science and Research
2024,senior,full-time,Research Scientist,146000,USD,146000,United States,in-person,United States,Medium,Data Science and Research
2024,entry-level,full-time,Business Intelligence Analyst,192300,USD,192300,United States,in-person,United States,Medium,BI and Visualization
2024,entry-level,full-time,Business Intelligence Analyst,120200,USD,120200,United States,in-person,United States,Medium,BI and Visualization
2024,entry-level,full-time,Analytics Engineer,132500,USD,132500,United States,in-person,United States,Medium,Leadership and Management
2024,entry-level,full-time,Analytics Engineer,111500,USD,111500,United States,in-person,United States,Medium,Leadership and Management
2024,entry-level,full-time,Data Engineer,234000,USD,234000,United States,in-person,United States,Medium,Data Engineering
2024,entry-level,full-time,Data Engineer,146000,USD,146000,United States,in-person,United States,Medium,Data Engineering
2024,senior,full-time,Data Scientist,168000,USD,168000,United States,in-person,United States,Medium,Data Science and Research
2024,mid-level,full-time,Data Scientist,152000,USD,152000,Canada,in-person,Canada,Medium,Data Science and Research
2024,mid-level,full-time,Data Scientist,98000,USD,98000,Canada,in-person,Canada,Medium,Data Science and Research
2024,senior,full-time,Research Engineer,138000,USD,138000,United States,in-person,United States,Medium,Data Science and Research
2024,senior,full-time,Research Engineer,86000,USD,86000,United States,in-person,United States,Medium,Data Science and Research
2024,senior,full-time,Data Science,130300,USD,130300,United States,in-person,United States,Medium,Data Science and Research
2024,senior,full-time,Bi Developer,60000,GBP,75000,United Kingdom,in-person,United Kingdom,Medium,BI and Visualization
2024,senior,full-time,Data Analyst,115000,USD,115000,United States,in-person,United States,Medium,Data Analysis
2024,senior,full-time,Data Analyst,105000,USD,105000,United States,in-person,United States,Medium,Data Analysis
2024,senior,full-time,Data Scientist,80000,GBP,100000,United Kingdom,in-person,United Kingdom,Medium,Data Science and Research
2024,senior,full-time,Data Scientist,70000,GBP,87500,United Kingdom,in-person,United Kingdom,Medium,Data Science and Research
2024,senior,full-time,Business Intelligence Engineer,156476,USD,156476,United States,remote,United States,Medium,BI and Visualization
2024,senior,full-time,Business Intelligence Engineer,104981,USD,104981,United States,remote,United States,Medium,BI and Visualization
2024,mid-level,full-time,Data Engineer,146000,USD,146000,United States,remote,United States,Medium,Data Engineering
2024,mid-level,full-time,Data Engineer,110000,USD,110000,United States,remote,United States,Medium,Data Engineering
2024,senior,full-time,Data Scientist,138000,USD,138000,United States,in-person,United States,Medium,Data Science and Research
2024,senior,full-time,Data Quality Engineer,190000,USD,190000,United States,in-person,United States,Medium,Data Quality and Operations
2024,mid-level,full-time,Machine Learning Engineer,160480,USD,160480,United States,in-person,United States,Medium,Machine Learning and AI
2024,mid-level,full-time,Machine Learning Engineer,109920,USD,109920,United States,in-person,United States,Medium,Machine Learning and AI
2024,senior,full-time,Data Engineer,224000,USD,224000,United States,in-person,United States,Medium,Data Engineering
