JobTitle,Industry,Salary,Risk,Location,Year,SourceDataset
,Entertainment,111392.16524315962,High,Dubai,,ai_job_market_insights.csv
,Technology,93792.56246610906,High,Singapore,,ai_job_market_insights.csv
,Technology,107170.26306894996,High,Singapore,,ai_job_market_insights.csv
,Retail,93027.95375786416,High,Berlin,,ai_job_market_insights.csv
,Entertainment,87752.92217059238,Low,Tokyo,,ai_job_market_insights.csv
,Education,102825.0078665678,Medium,San Francisco,,ai_job_market_insights.csv
,Finance,102065.72067347592,High,Singapore,,ai_job_market_insights.csv
,Technology,86607.3176180969,Low,Dubai,,ai_job_market_insights.csv
,Retail,75015.86084571481,Low,London,,ai_job_market_insights.csv
,Entertainment,96834.57829480869,Low,Singapore,,ai_job_market_insights.csv
,Finance,91566.97337925188,High,London,,ai_job_market_insights.csv
,Entertainment,78902.56574458485,High,Singapore,,ai_job_market_insights.csv
,Transportation,73151.99034926406,Medium,San Francisco,,ai_job_market_insights.csv
,Retail,98209.51687788912,High,Paris,,ai_job_market_insights.csv
,Finance,101001.90114055388,High,Singapore,,ai_job_market_insights.csv
,Telecommunications,82799.35770690278,Low,Dubai,,ai_job_market_insights.csv
,Manufacturing,78401.25928174148,Medium,Singapore,,ai_job_market_insights.csv
,Manufacturing,73394.89621925619,High,Tokyo,,ai_job_market_insights.csv
,Finance,97645.09878289838,High,San Francisco,,ai_job_market_insights.csv
,Entertainment,73920.45852718527,Low,Dubai,,ai_job_market_insights.csv
,Retail,134822.69138041462,Low,Sydney,,ai_job_market_insights.csv
,Manufacturing,81794.37128058006,High,Dubai,,ai_job_market_insights.csv
,Retail,41495.71444254798,Medium,Tokyo,,ai_job_market_insights.csv
,Manufacturing,89396.5666674173,Medium,Paris,,ai_job_market_insights.csv
,Transportation,88539.33040362394,Low,San Francisco,,ai_job_market_insights.csv
,Entertainment,112234.37135048377,Low,Sydney,,ai_job_market_insights.csv
,Transportation,95762.52473455408,High,Tokyo,,ai_job_market_insights.csv
,Manufacturing,73323.29633120395,Low,Tokyo,,ai_job_market_insights.csv
,Telecommunications,84272.16253006447,High,New York,,ai_job_market_insights.csv
,Telecommunications,96548.39543301976,Medium,San Francisco,,ai_job_market_insights.csv
,Transportation,46705.714993791786,Medium,Dubai,,ai_job_market_insights.csv
,Telecommunications,116772.434687809,High,London,,ai_job_market_insights.csv
,Manufacturing,73376.6022839067,Low,Paris,,ai_job_market_insights.csv
,Finance,118340.87641895234,Medium,London,,ai_job_market_insights.csv
,Transportation,97849.30282253175,Low,Dubai,,ai_job_market_insights.csv
,Healthcare,102591.88272787948,Medium,Dubai,,ai_job_market_insights.csv
,Entertainment,112988.46872002544,High,San Francisco,,ai_job_market_insights.csv
,Telecommunications,101462.64105384996,High,Dubai,,ai_job_market_insights.csv
,Telecommunications,103457.72432634902,High,New York,,ai_job_market_insights.csv
,Technology,86711.67119077238,Medium,Sydney,,ai_job_market_insights.csv
,Education,97443.3736294419,Low,Dubai,,ai_job_market_insights.csv
,Transportation,78250.04370056515,Low,London,,ai_job_market_insights.csv
,Energy,83131.77800824065,Low,Dubai,,ai_job_market_insights.csv
,Telecommunications,129293.90095937817,Medium,New York,,ai_job_market_insights.csv
,Entertainment,73836.12829899156,Medium,Singapore,,ai_job_market_insights.csv
,Healthcare,93086.3425327256,Medium,Singapore,,ai_job_market_insights.csv
,Telecommunications,92269.38073430952,Medium,Tokyo,,ai_job_market_insights.csv
,Healthcare,83784.91056438402,Medium,Paris,,ai_job_market_insights.csv
,Manufacturing,100288.01873140877,Low,Berlin,,ai_job_market_insights.csv
,Manufacturing,101794.44185482766,Medium,Sydney,,ai_job_market_insights.csv
,Education,71483.61633704841,Medium,Toronto,,ai_job_market_insights.csv
,Finance,92027.13423093104,Low,Tokyo,,ai_job_market_insights.csv
,Energy,68352.65322455287,Medium,Paris,,ai_job_market_insights.csv
,Technology,105770.97236634602,Low,Singapore,,ai_job_market_insights.csv
,Education,93529.74620725252,Low,London,,ai_job_market_insights.csv
,Retail,91646.59773434176,High,Toronto,,ai_job_market_insights.csv
,Technology,103180.62697744806,High,Paris,,ai_job_market_insights.csv
,Transportation,84489.79419063198,High,Paris,,ai_job_market_insights.csv
,Entertainment,108280.43918436408,High,Tokyo,,ai_job_market_insights.csv
,Retail,71031.10254487729,Medium,Toronto,,ai_job_market_insights.csv
,Retail,118237.53037789057,High,San Francisco,,ai_job_market_insights.csv
,Education,78981.77634890293,Low,Berlin,,ai_job_market_insights.csv
,Finance,56076.41864608825,Medium,San Francisco,,ai_job_market_insights.csv
,Education,83429.30183074536,High,Toronto,,ai_job_market_insights.csv
,Transportation,81160.63605491581,Low,San Francisco,,ai_job_market_insights.csv
,Telecommunications,83278.52027699928,Medium,New York,,ai_job_market_insights.csv
,Telecommunications,94632.96030967963,Medium,Singapore,,ai_job_market_insights.csv
,Finance,111956.84721776543,High,New York,,ai_job_market_insights.csv
,Transportation,86165.88172205727,Medium,Dubai,,ai_job_market_insights.csv
,Finance,76167.64860362199,Low,San Francisco,,ai_job_market_insights.csv
,Healthcare,67469.06375432406,Medium,Dubai,,ai_job_market_insights.csv
